id,ee,name,X,Y
1,1,陕西省西安市,116.397128,39.916527
2,2,陕西省宝鸡市,107.38745,34.35454
2,3,陕西省天水市,105.88965,34.57024
3,4,陕西省天水市,105.88965,34.57024
3,5,甘肃省定西市,104.61093,35.57934
1,6,甘肃省定西市,104.61093,35.57934
1,7,甘肃省定西市,104.61093,35.57934
1,8,甘肃省兰州市,103.71878,36.10396
2,9,甘肃省兰州市,103.71878,36.10396
3,10,甘肃省兰州市,103.71878,36.10396
1,11,甘肃省武威市,102.64198,37.92818
1,12,甘肃省武威市,102.64198,37.92818
3,13,甘肃省金昌市,102.19409,38.52014
1,14,甘肃省金昌市,102.19409,38.52014
1,15,甘肃省张掖市,100.47801,38.92967
3,16,甘肃省张掖市,100.47801,38.92967
2,17,甘肃省嘉峪关,98.29011,39.77201
1,18,甘肃省敦煌市,94.66197,40.14219
1,19,甘肃省敦煌市,94.66197,40.14219
1,20,甘肃省敦煌市,94.66197,40.14219
1,21,新疆哈密市,93.51465,42.82699
1,22,新疆哈密市,93.51465,42.82699
1,23,新疆吐鲁番,89.189537,42.951221
1,24,新疆乌鲁木齐,88.31104,43.36378
1,25,新疆维吾尔自治区焉耆回族自治县,86.57425,42.0591
2,26,新疆库车,82.96212,41.71741
2,27,新疆喀什,75.98976,39.47042
